r_fighter,b_fighter
Josh Koscheck,Ansar Chalangov
Dan Christison,Brad Imes
Jon Fitch,Joshua Burkman
Luke Cummo,Jason Von Flue
Chris Leben,Luigi Fioravanti
Josh Neer,Joe Stevenson
Rashad Evans,Sam Hoger
Stephan Bonnar,Keith Jardine
Tim Sylvia,Andrei Arlovski
Sean Sherk,Nick Diaz
Tito Ortiz,Forrest Griffin
Evan Tanner,Justin Levens
Jason Lambert,Terry Martin
Karo Parisyan,Nick Thompson
David Terrell,Scott Smith
Jeff Monson,Marcio Cruz
Thiago Alves,Derrick Noble
Diego Sanchez,John Alessio
Matt Hughes,Royce Gracie
Dean Lister,Alessio Sakara
Brandon Vera,Assuerio Silva
Jeremy Horn,Chael Sonnen
Spencer Fisher,Matt Wiman
Gabriel Gonzaga,Fabiano Scherner
Melvin Guillard,Rick Davis
Mike Swick,Joe Riggs
Kenny Florian,Sam Stout
Michael Bisping,Josh Haynes
Kendall Grove,Ed Herman
Keith Jardine,Wilson Gouveia
Rory Singer,Ross Pointon
Kalib Starnes,Danny Abbadi
Luigi Fioravanti,Solomon Hutcherson
Matt Hamill,Jesse Forbes
Mike Nickels,Wes Combs
Jonathan Goulet,Luke Cummo
Anderson Silva,Chris Leben
Rashad Evans,Stephan Bonnar
Mark Hominick,Jorge Gurgel
Jorge Santiago,Justin Levens
Jason Lambert,Branden Lee Hinkle
Jon Fitch,Thiago Alves
Rob MacDonald,Kristian Rothaermel
Josh Koscheck,Dave Menne
Tito Ortiz,Ken Shamrock
Tim Sylvia,Andrei Arlovski
Joshua Burkman,Josh Neer
Frank Mir,Dan Christison
Hermes Franca,Joe Jordan
Drew Fickett,Kurt Pellegrino
Jeff Monson,Anthony Perosh
Cheick Kongo,Gilbert Aldana
Joe Stevenson,Yves Edwards
Diego Sanchez,Karo Parisyan
Chris Leben,Jorge Santiago
Dean Lister,Yuki Sasaki
Josh Koscheck,Jonathan Goulet
Joe Riggs,Jason Von Flue
Jake O'Brien,Kristof Midoux
Forrest Petz,Sammy Morgan
Anthony Torres,Pat Healy
Martin Kampmann,Crafton Wallace
Nick Diaz,Josh Neer
Chuck Liddell,Renato Sobral
Forrest Griffin,Stephan Bonnar
Cheick Kongo,Christian Wellisch
Yushin Okami,Alan Belcher
Eric Schafer,Rob MacDonald
Wilson Gouveia,Wes Combs
David Heath,Cory Walmsley
Hermes Franca,Jamie Varner
Melvin Guillard,Gabe Ruediger
Matt Hughes,BJ Penn
Mike Swick,David Loiseau
