event,date,location,r_fighter,b_fighter,status,r_kd,b_kd,r_str,b_str,r_td,b_td,r_sub,b_sub,weight_class,method,method_detailed,round,time,r_career_fights,r_career_wins,r_career_losses,r_career_draws,r_career_str,r_career_td,r_career_kd,b_career_fights,b_career_wins,b_career_losses,b_career_draws,b_career_str,b_career_td,b_career_kd,r_career_win_rate,b_career_win_rate
UFC 6: Clash of the Titans,1995-07-14,"Casper, Wyoming, USA",Anthony Macias,He-Man Gipson,win,0.0,0.0,0.0,0.0,0.0,0.0,,,Open Weight,KO/TKO,Headbutts,1.0,3:06,2,0,2,0,8,0,0,0,0,0,0,0,0,0,0.0,0.0
UFC 6: Clash of the Titans,1995-07-14,"Casper, Wyoming, USA",Joel Sutton,Jack McGlaughlin,win,0.0,0.0,0.0,0.0,0.0,0.0,,,Open Weight,KO/TKO,Punches,1.0,2:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
UFC 7: The Brawl in Buffalo,1995-09-08,"Buffalo, New York, USA",Marco Ruas,Paul Varelans,win,1.0,0.0,33.0,10.0,0.0,0.0,0.0,1.0,Open Weight,KO/TKO,Kicks,1.0,13:17,0,0,0,0,0,0,0,2,1,1,0,9,0,1,0.0,0.5
UFC 7: The Brawl in Buffalo,1995-09-08,"Buffalo, New York, USA",Marco Ruas,Remco Pardoel,win,0.0,0.0,4.0,2.0,0.0,1.0,2.0,2.0,Open Weight,SUB,Other,1.0,12:27,1,1,0,0,33,0,1,3,2,1,0,11,2,0,1.0,0.6666666666666666
UFC 7: The Brawl in Buffalo,1995-09-08,"Buffalo, New York, USA",Paul Varelans,Mark Hall,win,0.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,Open Weight,SUB,Keylock,1.0,1:01,3,1,2,0,19,0,1,0,0,0,0,0,0,0,0.3333333333333333,0.0
UFC 7: The Brawl in Buffalo,1995-09-08,"Buffalo, New York, USA",Marco Ruas,Larry Cureton,win,0.0,0.0,1.0,6.0,1.0,0.0,3.0,1.0,Open Weight,SUB,Heel Hook,1.0,3:23,2,2,0,0,37,0,1,1,0,1,0,1,0,0,1.0,0.0
UFC 7: The Brawl in Buffalo,1995-09-08,"Buffalo, New York, USA",Remco Pardoel,Ryan Parker,win,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Open Weight,SUB,Gi Choke,1.0,3:05,4,2,2,0,13,3,0,0,0,0,0,0,0,0,0.5,0.0
UFC 7: The Brawl in Buffalo,1995-09-08,"Buffalo, New York, USA",Ken Shamrock,Oleg Taktarov,draw,0.0,0.0,29.0,4.0,1.0,0.0,1.0,0.0,Open Weight,Other,,2.0,5:00,4,3,0,1,24,3,0,5,4,1,0,4,0,0,0.75,0.8
UFC 7: The Brawl in Buffalo,1995-09-08,"Buffalo, New York, USA",Paul Varelans,Gerry Harris,win,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,Open Weight,KO/TKO,Elbows,1.0,1:05,4,2,2,0,21,1,1,0,0,0,0,0,0,0,0.5,0.0
UFC 7: The Brawl in Buffalo,1995-09-08,"Buffalo, New York, USA",Scott Bessac,David Hood,win,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,Open Weight,SUB,Guillotine Choke,1.0,0:31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
UFC 7: The Brawl in Buffalo,1995-09-08,"Buffalo, New York, USA",Onassis Parungao,Francesco Maturi,win,0.0,0.0,0.0,0.0,0.0,0.0,,,Open Weight,KO/TKO,,1.0,5:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
UFC 7: The Brawl in Buffalo,1995-09-08,"Buffalo, New York, USA",Joel Sutton,Geza Kalman,win,0.0,0.0,0.0,0.0,0.0,0.0,,,Open Weight,KO/TKO,,1.0,0:48,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0
UFC 7: The Brawl in Buffalo,1995-09-08,"Buffalo, New York, USA",Mark Hall,Harold Howard,win,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,Open Weight,KO/TKO,Punches,1.0,1:41,1,0,1,0,2,0,0,2,1,1,0,11,0,1,0.0,0.5
UFC - Ultimate Ultimate '95,1995-12-16,"Denver, Colorado, USA",Dan Severn,David Abbott,win,0.0,0.0,57.0,3.0,1.0,0.0,0.0,0.0,Open Weight,U-DEC,,1.0,18:00,7,5,2,0,19,7,0,3,2,1,0,38,3,2,0.7142857142857143,0.6666666666666666
UFC - Ultimate Ultimate '95,1995-12-16,"Denver, Colorado, USA",Oleg Taktarov,Marco Ruas,win,0.0,0.0,6.0,14.0,0.0,0.0,1.0,0.0,Open Weight,U-DEC,,1.0,18:00,6,4,1,1,8,0,0,3,3,0,0,38,1,1,0.6666666666666666,1.0
UFC - Ultimate Ultimate '95,1995-12-16,"Denver, Colorado, USA",Oleg Taktarov,Dave Beneteau,win,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,Open Weight,SUB,Ankle Lock,1.0,1:15,7,5,1,1,14,0,0,4,2,2,0,27,3,0,0.7142857142857143,0.5
UFC - Ultimate Ultimate '95,1995-12-16,"Denver, Colorado, USA",Dan Severn,Oleg Taktarov,win,0.0,0.0,24.0,8.0,0.0,0.0,0.0,1.0,Open Weight,U-DEC,,2.0,3:00,8,6,2,0,76,8,0,8,6,1,1,14,0,0,0.75,0.75
UFC - Ultimate Ultimate '95,1995-12-16,"Denver, Colorado, USA",Dan Severn,Paul Varelans,win,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,Open Weight,SUB,Arm Triangle,1.0,1:01,9,7,2,0,100,8,0,5,3,2,0,25,2,1,0.7777777777777778,0.6
UFC - Ultimate Ultimate '95,1995-12-16,"Denver, Colorado, USA",David Abbott,Steve Jennum,win,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,Open Weight,SUB,Neck Crank,1.0,1:14,4,2,2,0,41,3,2,2,2,0,0,19,3,0,0.5,1.0
UFC - Ultimate Ultimate '95,1995-12-16,"Denver, Colorado, USA",Mark Hall,Trent Jenkins,win,0.0,0.0,0.0,0.0,0.0,0.0,,,Open Weight,SUB,,1.0,5:29,2,1,1,0,3,0,0,0,0,0,0,0,0,0,0.5,0.0
UFC - Ultimate Ultimate '95,1995-12-16,"Denver, Colorado, USA",Joe Charles,Scott Bessac,win,0.0,0.0,0.0,0.0,0.0,0.0,,,Open Weight,SUB,Armbar,1.0,4:38,2,1,1,0,1,0,0,1,1,0,0,1,0,0,0.5,1.0
